longitude,latitude,name
-109.15200, 33.40000, "HANNAH HOT SPRING                    133"
-110.24000, 32.33600, "HOOKERS HOT SPRINGS                  127"
-109.30300, 33.08000, "HOT SPRING                           138"
-114.74200, 35.98400, "HOT SPRING                             H"
-114.72500, 35.96000, "HOT SPRING                            86"
-109.90100, 32.99800, "INDIAN HOT SPRINGS                   118"
-113.49700, 34.56300, "KAISER HOT SPRING                     99"
-113.08100, 36.19600, "LAVA WARM SPRINGS                     90"
-109.51000, 31.59200, "LEWIS SPRING                          68"
-110.70800, 32.33700, "MERCER SPRING                         77"
-110.63900, 33.15200, "MESCAL WARM SPRING                    84"
-112.33200, 33.91500, "MITCHELL SPRING                       79"
-110.70300, 31.63700, "MONKEY SPRING                         82"
-110.22800, 32.32700, "N-O SPRING                            73"
-114.30800, 34.89600, "OATMAN WARM SPRINGS                   91"
-113.95600, 36.41800, "PAKOON SPRINGS                        86"
-110.81800, 33.20900, "PIONEER SPRING                        91"
-113.01300, 31.94300, "QUITOBAQUITO SPRINGS                  90"
-114.06800, 32.74100, "RADIUM HOT SPRINGS                   140"
-111.16500, 33.66900, "ROOSEVELT DAM SPRINGS                118"
-109.40200, 34.43600, "SALADO SPRINGS                        72"
-110.57400, 33.83100, "SALT BANKS                            78"
-109.29800, 33.07500, "SEEP                                  95"
-111.74400, 34.64900, "SODA SPRING                           75"
-110.70300, 33.25300, "SPRING                                75"
-110.66200, 33.16300, "SPRING                                82"
-111.60200, 34.40500, "SPRING                                72"
-112.69300, 34.44500, "SPRING                                72"
-111.70800, 34.07600, "SPRING (HOT)                          99"
-113.91300, 36.89500, "SPRINGS                               79"
-113.60800, 34.91000, "TOM BROWN WARM SPRING                 82"
-111.45300, 34.32000, "TONTO NATURAL BRIDGE SPRING           72"
-113.26700, 35.07700, "TROUT CREEK SPRING                    81"
-111.71000, 34.35700, "VERDE HOT SPRINGS                    104"
-110.37300, 32.98300, "WARM SPRING                           79"
-109.48200, 33.06200, "WARM SPRING                           73"
-110.31700, 33.78000, "WARM SPRING                            W"
-109.97500, 33.06800, "WARM SPRING                           90"
-110.24700, 32.34500, "WARM SPRINGS                          91"
-110.21300, 33.43800, "WARM SPRINGS                          86"
-110.23500, 33.74800, "null                                  83"
-113.81000, 35.11000, "null                                  73"
